,TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
505,20180111170120,2,36,20,2,0,0,0
506,20180111170120,3,7,22,2,0,0,0
507,20180111170120,4,0,22,1,0,0,0
508,20180111170122,1,36,18,1,0,0,0
509,20180111170122,2,36,20,2,0,0,0
510,20180111170135,1,56,19,1,0,0,0
511,20180111170502,1,57,18,1,0,0,0
512,20180111170502,2,45,20,2,0,0,0
513,20180111170502,3,18,22,1,0,0,0
514,20180111170502,4,14,22,1,0,0,0
515,20180111170502,5,5,22,2,0,0,0
516,20180111170503,1,34,18,2,0,0,0
517,20180111170503,2,39,20,1,0,0,0
518,20180111170503,3,2,22,1,0,0,0
519,20180111170503,4,0,22,2,0,0,0
520,20180111170512,1,65,18,2,0,0,0
521,20180111170512,2,70,20,1,0,0,0
522,20180111170533,1,37,18,1,0,0,0
523,20180111170533,2,33,20,2,0,0,0
524,20180111170533,3,2,22,1,0,0,0
525,20180111170533,4,0,22,1,0,0,0
526,20180111170533,5,0,22,1,0,0,0
527,20180111170545,1,61,19,2,0,0,0
528,20180111170545,2,59,21,1,0,0,0
529,20180111170563,1,23,19,2,0,0,0
530,20180111170582,1,44,18,2,0,0,0
531,20180111170582,2,22,22,2,0,0,0
532,20180111170582,3,60,24,2,0,0,0
533,20180111170582,4,18,26,2,0,0,0
534,20180111170582,5,13,26,1,0,0,0
535,20180111170582,6,12,26,1,0,0,0
536,20180111170599,1,28,19,2,0,0,0
537,20180111170615,1,37,19,1,0,0,0
538,20180111170615,2,13,40,2,0,0,0
539,20180111170615,3,11,40,2,0,0,0
540,20180111170620,1,42,18,2,0,0,0
541,20180111170620,2,17,22,1,0,0,0
542,20180111170625,1,40,19,2,0,0,0
543,20180111170626,1,47,18,2,0,0,0
544,20180111170626,2,42,20,1,0,0,0
545,20180111170632,1,17,18,2,0,0,0
546,20180111170632,2,34,24,2,0,0,0
547,20180111170632,3,41,24,1,0,0,0
548,20180111170632,4,13,25,1,0,0,0
549,20180111170632,5,6,25,2,0,0,0
550,20180111170653,1,53,18,2,0,0,0
551,20180111170653,2,54,20,1,0,0,0
552,20180111170653,3,28,22,1,0,0,0
553,20180111170655,1,53,18,2,0,0,0
554,20180111170655,2,57,20,1,0,0,0
555,20180111170658,1,43,18,2,0,0,0
556,20180111170658,2,50,30,2,0,0,0
557,20180111170673,1,74,18,1,0,0,0
558,20180111170673,2,62,20,2,0,0,0
559,20180111170701,1,29,18,2,0,0,0
560,20180111170701,2,30,30,2,0,0,0
561,20180111170702,1,79,19,2,0,0,0
562,20180111170706,1,58,19,1,0,0,0
563,20180111170706,3,53,28,1,0,0,0
564,20180111170708,1,17,18,1,0,0,0
565,20180111170708,2,51,24,2,0,0,0
566,20180111170708,3,52,24,1,0,0,0
567,20180111170708,4,16,25,1,0,0,0
568,20180111170710,1,48,18,1,0,0,0
569,20180111170710,2,62,21,2,0,0,0
570,20180111170711,1,54,18,2,0,0,0
571,20180111170711,2,58,20,1,0,0,0
572,20180111170711,3,80,24,2,0,0,0
573,20180111170721,1,79,18,1,0,0,0
574,20180111170721,2,77,20,2,0,0,0
575,20180111170725,1,23,18,2,0,0,0
576,20180111170725,2,50,24,2,0,0,0
577,20180111170725,3,22,25,1,0,0,0
578,20180111170738,1,62,19,2,0,0,0
579,20180111170749,1,67,18,2,0,0,0
580,20180111170749,2,70,20,1,0,0,0
581,20180111170774,1,60,19,2,0,0,0
582,20180111170789,1,55,19,2,0,0,0
583,20180111170795,1,69,18,2,0,0,0
584,20180111170795,2,71,20,1,0,0,0
585,20180111170811,1,41,18,2,0,0,0
586,20180111170811,2,11,22,1,0,0,0
587,20180111170811,3,9,22,2,0,0,0
588,20180111170830,1,37,18,2,0,0,0
589,20180111170830,2,4,22,2,0,0,0
590,20180111170830,3,2,22,1,0,0,0
591,20180111170853,1,80,19,2,0,0,0
592,20180111170856,1,45,18,2,0,0,0
593,20180111170856,2,49,20,1,0,0,0
594,20180111170863,1,24,18,1,0,0,0
595,20180111170863,2,57,24,2,0,0,0
596,20180111170874,1,48,18,2,0,0,0
597,20180111170874,2,49,20,1,0,0,0
598,20180111170874,4,14,22,2,0,0,0
599,20180111170874,5,14,22,2,0,0,0
600,20180111170887,1,49,19,1,0,0,0
601,20180111170889,1,52,18,2,0,0,0
602,20180111170889,2,53,20,1,0,0,0
603,20180111170889,3,25,22,2,0,0,0
604,20180111170904,1,33,18,1,0,0,0
605,20180111170904,2,34,26,2,0,0,0
606,20180111170904,3,32,20,2,0,0,0
607,20180111170904,4,34,26,1,0,0,0
608,20180111170904,5,10,22,1,0,0,0
609,20180111170904,6,5,22,2,0,0,0
610,20180111170904,7,12,26,2,0,0,0
611,20180111170904,8,11,26,1,0,0,0
612,20180111170904,9,3,26,1,0,0,0
613,20180111170909,1,43,18,2,0,0,0
614,20180111170909,2,40,20,1,0,0,0
615,20180111170909,3,10,22,1,0,0,0
616,20180111170937,1,26,18,1,0,0,0
617,20180111170937,2,25,28,1,0,0,0
618,20180111170937,3,25,28,1,0,0,0
619,20180111170937,4,25,28,2,0,0,0
620,20180111170951,1,63,19,1,0,0,0
621,20180111170961,1,60,18,2,0,0,0
622,20180111170961,2,62,20,1,0,0,0
623,20180111170966,1,57,18,2,0,0,0
624,20180111170966,2,27,22,2,0,0,0
