,TUCASEID,TEAGE_EC,TEELDUR,TEELWHO,TEELYRS,TRELHH,TUECLNO,TULINENO,TXAGE_EC,TXELDUR,TXELWHO,TXELYRS
2106,20181210180715,55,4,24,2,1,2,2,0,0,0,0
2107,20181210181344,80,4,33,10,0,3,-1,60,0,0,0
2108,20181210181344,85,4,34,10,0,4,-1,60,0,0,0
2109,20181210181345,85,4,47,5,0,5,-1,60,0,0,0
2110,20181210181411,85,4,33,10,0,5,-1,0,0,0,0
2111,20181210181544,80,4,33,13,0,5,-1,60,0,0,0
2112,20181210181871,85,4,33,9,0,3,-1,60,0,0,0
2113,20181210181908,85,3,47,-1,0,5,-1,60,0,0,-1
2114,20181210182366,77,4,33,2,0,2,-1,0,0,0,0
2115,20181210182370,60,3,47,-1,0,5,-1,0,0,0,-1
2116,20181210182370,62,4,48,4,0,6,-1,0,0,0,0
2117,20181210182531,80,4,33,5,0,4,-1,60,0,0,0
2118,20181211180072,85,4,43,8,0,2,-1,60,0,0,0
2119,20181211180077,80,4,39,8,0,3,-1,60,0,0,0
2120,20181211180103,52,2,33,-1,0,2,-1,0,0,0,-1
2121,20181211180108,70,1,43,-1,0,2,-1,0,0,0,-1
2122,20181211180501,85,4,43,2,0,3,-1,60,0,0,0
2123,20181211180504,80,3,26,-1,1,2,2,0,0,0,-1
2124,20181211180506,85,1,39,-1,0,5,-1,60,0,0,-1
2125,20181211180513,85,4,33,8,0,2,-1,60,0,0,0
2126,20181211180521,85,4,43,10,0,3,-1,60,0,0,0
2127,20181211180589,79,4,37,4,0,2,-1,0,0,0,0
2128,20181211180647,69,4,20,5,1,2,2,0,0,0,0
2129,20181211180649,70,4,33,5,0,3,-1,0,0,0,0
2130,20181211180649,70,4,34,2,0,4,-1,0,0,0,0
2131,20181211180677,58,4,33,2,0,5,-1,0,0,0,0
2132,20181211180677,59,1,34,-1,0,6,-1,0,0,0,-1
2133,20181211180680,80,4,39,8,0,4,-1,60,0,0,0
2134,20181211180680,78,4,43,3,0,5,-1,0,0,0,0
